total_bill,tip,tip_percent,smoker,day,time,size
18.29,3,16,No,Sun,Dinner,2
22.23,5,22,No,Sun,Dinner,2
32.4,6,19,No,Sun,Dinner,4
28.55,2.05,7,No,Sun,Dinner,3
18.04,3,17,No,Sun,Dinner,2
12.54,2.5,20,No,Sun,Dinner,2
10.29,2.6,25,No,Sun,Dinner,2
34.81,5.2,15,No,Sun,Dinner,4
9.94,1.56,16,No,Sun,Dinner,2
25.56,4.34,17,No,Sun,Dinner,4
19.49,3.51,18,No,Sun,Dinner,2
38.01,3,8,Yes,Sat,Dinner,4
26.41,1.5,6,No,Sat,Dinner,2
11.24,1.76,16,Yes,Sat,Dinner,2
48.27,6.73,14,No,Sat,Dinner,4
20.29,3.21,16,Yes,Sat,Dinner,2
13.81,2,14,Yes,Sat,Dinner,2
11.02,1.98,18,Yes,Sat,Dinner,2
18.29,3.76,21,Yes,Sat,Dinner,4
17.59,2.64,15,No,Sat,Dinner,3
20.08,3.15,16,No,Sat,Dinner,3
16.45,2.47,15,No,Sat,Dinner,2
3.07,1,33,Yes,Sat,Dinner,1
20.23,2.01,10,No,Sat,Dinner,2
15.01,2.09,14,Yes,Sat,Dinner,2
12.02,1.97,16,No,Sat,Dinner,2
17.07,3,18,No,Sat,Dinner,3
26.86,3.14,12,Yes,Sat,Dinner,2
25.28,5,20,Yes,Sat,Dinner,2
14.73,2.2,15,No,Sat,Dinner,2
10.51,1.25,12,No,Sat,Dinner,2
17.92,3.08,17,Yes,Sat,Dinner,2
27.2,4,15,No,Thur,Lunch,4
22.76,3,13,No,Thur,Lunch,2
17.29,2.71,16,No,Thur,Lunch,2
19.44,3,15,Yes,Thur,Lunch,2
16.66,3.4,20,No,Thur,Lunch,2
10.07,1.83,18,No,Thur,Lunch,1
32.68,5,15,Yes,Thur,Lunch,2
15.98,2.03,13,No,Thur,Lunch,2
34.83,5.17,15,No,Thur,Lunch,4
13.03,2,15,No,Thur,Lunch,2
18.28,4,22,No,Thur,Lunch,2
24.71,5.85,24,No,Thur,Lunch,2
21.16,3,14,No,Thur,Lunch,2
28.97,3,10,Yes,Fri,Dinner,2
22.49,3.5,16,No,Fri,Dinner,2
5.75,1,17,Yes,Fri,Dinner,2
16.32,4.3,26,Yes,Fri,Dinner,2
22.75,3.25,14,No,Fri,Dinner,2
40.17,4.73,12,Yes,Fri,Dinner,4
27.28,4,15,Yes,Fri,Dinner,2
12.03,1.5,12,Yes,Fri,Dinner,2
21.01,3,14,Yes,Fri,Dinner,2
12.46,1.5,12,No,Fri,Dinner,2
11.35,2.5,22,Yes,Fri,Dinner,2
15.38,3,20,Yes,Fri,Dinner,2
44.3,2.5,6,Yes,Sat,Dinner,3
22.42,3.48,16,Yes,Sat,Dinner,2
20.92,4.08,20,No,Sat,Dinner,2
15.36,1.64,11,Yes,Sat,Dinner,2
20.49,4.06,20,Yes,Sat,Dinner,2
25.21,4.29,17,Yes,Sat,Dinner,2
18.24,3.76,21,No,Sat,Dinner,2
14.31,4,28,Yes,Sat,Dinner,2
14,3,21,No,Sat,Dinner,2
7.25,1,14,No,Sat,Dinner,1
38.07,4,11,No,Sun,Dinner,3
23.95,2.55,11,No,Sun,Dinner,2
25.71,4,16,No,Sun,Dinner,3
17.31,3.5,20,No,Sun,Dinner,2
29.93,5.07,17,No,Sun,Dinner,4
10.65,1.5,14,No,Thur,Lunch,2
12.43,1.8,14,No,Thur,Lunch,2
24.08,2.92,12,No,Thur,Lunch,4
11.69,2.31,20,No,Thur,Lunch,2
13.42,1.68,13,No,Thur,Lunch,2
14.26,2.5,18,No,Thur,Lunch,2
15.95,2,13,No,Thur,Lunch,2
12.48,2.52,20,No,Thur,Lunch,2
29.8,4.2,14,No,Thur,Lunch,6
8.52,1.48,17,No,Thur,Lunch,2
14.52,2,14,No,Thur,Lunch,2
11.38,2,18,No,Thur,Lunch,2
22.82,2.18,10,No,Thur,Lunch,3
19.08,1.5,8,No,Thur,Lunch,2
20.27,2.83,14,No,Thur,Lunch,2
11.17,1.5,13,No,Thur,Lunch,2
12.26,2,16,No,Thur,Lunch,2
18.26,3.25,18,No,Thur,Lunch,2
8.51,1.25,15,No,Thur,Lunch,2
10.33,2,19,No,Thur,Lunch,2
14.15,2,14,No,Thur,Lunch,2
16,2,12,Yes,Thur,Lunch,2
13.16,2.75,21,No,Thur,Lunch,2
17.47,3.5,20,No,Thur,Lunch,2
34.3,6.7,20,No,Thur,Lunch,6
41.19,5,12,No,Thur,Lunch,5
27.05,5,18,No,Thur,Lunch,6
16.43,2.3,14,No,Thur,Lunch,2
8.35,1.5,18,No,Thur,Lunch,2
18.64,1.36,7,No,Thur,Lunch,3
11.87,1.63,14,No,Thur,Lunch,2
9.78,1.73,18,No,Thur,Lunch,2
7.51,2,27,No,Thur,Lunch,2
14.07,2.5,18,No,Sun,Dinner,2
13.13,2,15,No,Sun,Dinner,2
17.26,2.74,16,No,Sun,Dinner,3
24.55,2,8,No,Sun,Dinner,4
19.77,2,10,No,Sun,Dinner,4
29.85,5.14,17,No,Sun,Dinner,5
48.17,5,10,No,Sun,Dinner,6
25,3.75,15,No,Sun,Dinner,4
13.39,2.61,19,No,Sun,Dinner,2
16.49,2,12,No,Sun,Dinner,4
21.5,3.5,16,No,Sun,Dinner,4
12.66,2.5,20,No,Sun,Dinner,2
16.21,2,12,No,Sun,Dinner,3
13.81,2,14,No,Sun,Dinner,2
17.51,3,17,Yes,Sun,Dinner,2
24.52,3.48,14,No,Sun,Dinner,3
20.76,2.24,11,No,Sun,Dinner,2
31.71,4.5,14,No,Sun,Dinner,4
10.59,1.61,15,Yes,Sat,Dinner,2
10.63,2,19,Yes,Sat,Dinner,2
50.81,10,20,Yes,Sat,Dinner,3
15.81,3.16,20,Yes,Sat,Dinner,2
7.25,5.15,71,Yes,Sun,Dinner,2
31.85,3.18,10,Yes,Sun,Dinner,2
16.82,4,24,Yes,Sun,Dinner,2
32.9,3.11,9,Yes,Sun,Dinner,2
17.89,2,11,Yes,Sun,Dinner,2
14.48,2,14,Yes,Sun,Dinner,2
9.6,4,42,Yes,Sun,Dinner,2
34.63,3.55,10,Yes,Sun,Dinner,2
34.65,3.68,11,Yes,Sun,Dinner,4
23.33,5.65,24,Yes,Sun,Dinner,2
45.35,3.5,8,Yes,Sun,Dinner,3
23.17,6.5,28,Yes,Sun,Dinner,4
40.55,3,7,Yes,Sun,Dinner,2
20.69,5,24,No,Sun,Dinner,5
20.9,3.5,17,Yes,Sun,Dinner,3
30.46,2,7,Yes,Sun,Dinner,5
18.15,3.5,19,Yes,Sun,Dinner,3
23.1,4,17,Yes,Sun,Dinner,3
15.69,1.5,10,Yes,Sun,Dinner,2
19.81,4.19,21,Yes,Thur,Lunch,2
28.44,2.56,9,Yes,Thur,Lunch,2
15.48,2.02,13,Yes,Thur,Lunch,2
16.58,4,24,Yes,Thur,Lunch,2
7.56,1.44,19,No,Thur,Lunch,2
10.34,2,19,Yes,Thur,Lunch,2
43.11,5,12,Yes,Thur,Lunch,4
13,2,15,Yes,Thur,Lunch,2
13.51,2,15,Yes,Thur,Lunch,2
18.71,4,21,Yes,Thur,Lunch,3
12.74,2.01,16,Yes,Thur,Lunch,2
13,2,15,Yes,Thur,Lunch,2
16.4,2.5,15,Yes,Thur,Lunch,2
20.53,4,19,Yes,Thur,Lunch,4
16.47,3.23,20,Yes,Thur,Lunch,3
26.59,3.41,13,Yes,Sat,Dinner,3
38.73,3,8,Yes,Sat,Dinner,4
24.27,2.03,8,Yes,Sat,Dinner,2
12.76,2.23,17,Yes,Sat,Dinner,2
30.06,2,7,Yes,Sat,Dinner,3
25.89,5.16,20,Yes,Sat,Dinner,4
48.33,9,19,No,Sat,Dinner,4
13.27,2.5,19,Yes,Sat,Dinner,2
28.17,6.5,23,Yes,Sat,Dinner,3
12.9,1.1,9,Yes,Sat,Dinner,2
28.15,3,11,Yes,Sat,Dinner,5
11.59,1.5,13,Yes,Sat,Dinner,2
7.74,1.44,19,Yes,Sat,Dinner,2
30.14,3.09,10,Yes,Sat,Dinner,4
12.16,2.2,18,Yes,Fri,Lunch,2
13.42,3.48,26,Yes,Fri,Lunch,2
8.58,1.92,22,Yes,Fri,Lunch,1
15.98,3,19,No,Fri,Lunch,3
13.42,1.58,12,Yes,Fri,Lunch,2
16.27,2.5,15,Yes,Fri,Lunch,2
10.09,2,20,Yes,Fri,Lunch,2
20.45,3,15,No,Sat,Dinner,4
13.28,2.72,20,No,Sat,Dinner,2
22.12,2.88,13,Yes,Sat,Dinner,2
24.01,2,8,Yes,Sat,Dinner,4
15.69,3,19,Yes,Sat,Dinner,3
11.61,3.39,29,No,Sat,Dinner,2
10.77,1.47,14,No,Sat,Dinner,2
15.53,3,19,Yes,Sat,Dinner,2
10.07,1.25,12,No,Sat,Dinner,2
12.6,1,8,Yes,Sat,Dinner,2
32.83,1.17,4,Yes,Sat,Dinner,2
35.83,4.67,13,No,Sat,Dinner,3
29.03,5.92,20,No,Sat,Dinner,3
27.18,2,7,Yes,Sat,Dinner,2
22.67,2,9,Yes,Sat,Dinner,2
17.82,1.75,10,No,Sat,Dinner,2
18.78,3,16,No,Thur,Dinner,2
